# AZGA DATA START
BENIC,50.401443,2.790833,LF,0
ADIBO,50.188332,2.819167,LF,0
TWENT,50.545833,3.496944,LF,0
ZEBLO,50.419723,2.969444,LF,0
MPEPE,50.404167,3.275000,LF,0
LYKII,50.342220,3.675000,LF,0
CDVLL,50.312527,3.148083,LF,0
LUDOV,49.912498,2.840000,LF,0
KNAKI,49.514805,3.033277,LF,0
DIDRL,49.268612,3.683056,LF,0
YVOUN,49.808334,3.318056,LF,0
AZGAR,50.006668,4.586666,LF,0
LUKYN,50.354999,3.793333,LF,0
MONFX,49.958610,4.093889,LF,0
DITES,49.815834,3.767392,LF,0
BENTR,49.569637,4.002861,LF,0
PYRAX,49.596390,4.357500,LF,0
IF33R,49.955841,3.631867,LF,1
IF15L,50.249561,3.367461,LF,1
IF33L,49.948059,3.633391,LF,1
IF15R,50.249817,3.361817,LF,1
# AZGA DATA END
